Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,All_three_methods,0.8899457127102287,0.8786215802796598,0.8332377191017425
Linear SVM,All_three_methods,0.9059740005514199,0.8982675608039564,0.8673970693476223
SVM RBF,All_three_methods,0.879798676592225,0.8599870241751644,0.7806145165386614
SVM Polynomial,All_three_methods,0.8231728425696168,0.7750612985353066,0.582575200104954
SVM Sigmoid,All_three_methods,0.6997929969671906,0.6749506221747564,0.5754827933846701
Decision Tree,All_three_methods,0.8018060380479733,0.7894923367698142,0.7405243938422355
Random Forest,All_three_methods,0.8739165701681831,0.856405689550559,0.7862943884825073
Gradient Boosting,All_three_methods,0.8723294733939895,0.8565333963113541,0.7933567489435922
AdaBoost,All_three_methods,0.8493593052109181,0.8310616799975145,0.757802427286762
GentleBoost,All_three_methods,0.8402617314585056,0.8044014823187396,0.6609313999396996
LogitBoost,All_three_methods,0.8493593052109181,0.8310616799975145,0.757802427286762
RUSBoost,All_three_methods,0.8808687896333058,0.8627734599759913,0.7904829207863635
kNN Euclidean,All_three_methods,0.8627192169837331,0.8480085959108642,0.7891015865629712
kNN Minkowski,All_three_methods,0.8627192169837331,0.8480085959108642,0.7891015865629712
kNN Cityblock,All_three_methods,0.8691346567411085,0.8514452613603506,0.7806033392774056
kNN Chebyshev,All_three_methods,0.8434720430107526,0.8303317593944838,0.7777103771833956
kNN Cosine,All_three_methods,0.8525558312655087,0.8456096012094436,0.8176414710355594
Naive Bayes Gaussian,All_three_methods,0.7751112213950924,0.7890598440873786,0.8446967128519294
Naive Bayes Bernoulli,All_three_methods,0.7430692859112215,0.7435421878568521,0.7451361954370999
Linear Discriminant Analysis (LDA),All_three_methods,0.9091653708298869,0.903394869577938,0.8802552607068174
Subspace KNN,All_three_methods,0.8621755720981529,0.8464358514477532,0.783396310835431
Subspace Discriminant,All_three_methods,0.916646622553074,0.9113884435277365,0.8902637734304303
