Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,fscnca,0.8659174800110284,0.8491379857730323,0.7819847762416146
Linear SVM,fscnca,0.8771363385718226,0.861253279921176,0.797655183923229
SVM RBF,fscnca,0.884608105872622,0.8672497646418238,0.7976909729242813
SVM Polynomial,fscnca,0.7916453267162945,0.7402461130797046,0.5342599769816517
SVM Sigmoid,fscnca,0.6778895230217811,0.6485991527568766,0.5313400801194453
Decision Tree,fscnca,0.8322575682382133,0.8247711589044738,0.794812196841713
Random Forest,fscnca,0.8696396195202647,0.8547080865489814,0.794816936628329
Gradient Boosting,fscnca,0.8744516404742212,0.8602336791257045,0.8033346341599219
AdaBoost,fscnca,0.8514952577888062,0.8329668341905178,0.7590750671557185
GentleBoost,fscnca,0.8242326164874552,0.7778800122604999,0.5924906274150783
LogitBoost,fscnca,0.8514952577888062,0.8329668341905178,0.7590750671557185
RUSBoost,fscnca,0.8744516129032259,0.8588326477652014,0.7962414894232389
kNN Euclidean,fscnca,0.8616422387648194,0.8451206810494624,0.7790740561598956
kNN Minkowski,fscnca,0.8616422387648194,0.8451206810494624,0.7790740561598956
kNN Cityblock,fscnca,0.8541601599117729,0.8389010883456374,0.7777592438427456
kNN Chebyshev,fscnca,0.8488105045492143,0.8320027608423937,0.7648041625791571
kNN Cosine,fscnca,0.8488233802040254,0.8388839043239665,0.7990793150109857
Naive Bayes Gaussian,fscnca,0.7895214502343535,0.7983074711234329,0.8332815729488426
Naive Bayes Bernoulli,fscnca,0.6858869037772264,0.6791756066754626,0.6522570416087415
Linear Discriminant Analysis (LDA),fscnca,0.869646512269093,0.8549750923333558,0.7962056490517783
Subspace KNN,fscnca,0.8627046043562173,0.8477307469509533,0.787713036337543
Subspace Discriminant,fscnca,0.8675114695340502,0.8518412148846567,0.7890831932996795
