Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,Lasso,0.8888781913427075,0.8757772052049327,0.823284186116077
Linear SVM,Lasso,0.9033064791838985,0.8950036426596473,0.8617238889578424
SVM RBF,Lasso,0.8830020953956437,0.8619757441268835,0.7777586653672772
SVM Polynomial,Lasso,0.8151565481113868,0.7638190227135236,0.5583812467519865
SVM Sigmoid,Lasso,0.7019340777502068,0.6792513332530823,0.5883972809736803
Decision Tree,Lasso,0.8146129032258065,0.8017758319324124,0.7505745517934564
Random Forest,Lasso,0.8749969947615108,0.8575327581846768,0.7876762471538695
Gradient Boosting,Lasso,0.8723251723187208,0.8556931865175189,0.7891253089477589
AdaBoost,Lasso,0.8493618968844775,0.8278951141634868,0.7421026517896178
GentleBoost,Lasso,0.8365275709953129,0.798823971069484,0.6480801028435884
LogitBoost,Lasso,0.8493618968844775,0.8278951141634868,0.7421026517896178
RUSBoost,Lasso,0.8717927212572375,0.8529917436698753,0.7777351565509191
kNN Euclidean,Lasso,0.8718047422111939,0.8598686860479994,0.8119801031826176
kNN Minkowski,Lasso,0.8718047422111939,0.8598686860479994,0.8119801031826176
kNN Cityblock,Lasso,0.8685884201819686,0.8549752860330657,0.8004970735110128
kNN Chebyshev,Lasso,0.8386712158808933,0.8256361218291729,0.7734429914181952
kNN Cosine,Lasso,0.8429627791563276,0.8362221087469551,0.809149285458183
Naive Bayes Gaussian,Lasso,0.7527053487730907,0.7768066852953832,0.8731822528621523
Naive Bayes Bernoulli,Lasso,0.751108795147505,0.7419353405619692,0.7051874922787466
Linear Discriminant Analysis (LDA),Lasso,0.9134371657016818,0.9084986967902746,0.8887535134220889
Subspace KNN,Lasso,0.8680576785221946,0.8562786763379734,0.8090692722732861
Subspace Discriminant,Lasso,0.9187627240143369,0.9150594795773439,0.9001743987241185
