Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,Lasso+fscnca,0.8899465674110836,0.878337530489531,0.8318192793854305
Linear SVM,Lasso+fscnca,0.9054458229942101,0.8978517950138786,0.8674158329476587
SVM RBF,Lasso+fscnca,0.8840687620623106,0.8653933439326019,0.7905680495243269
SVM Polynomial,Lasso+fscnca,0.8151548387096774,0.766101996054278,0.5697717181151627
SVM Sigmoid,Lasso+fscnca,0.6987108629721533,0.6769693509897022,0.5898206281043351
Decision Tree,Lasso+fscnca,0.8066137854976564,0.7928470818896599,0.7378102811752602
Random Forest,Lasso+fscnca,0.8760507582023712,0.8589509388842771,0.7905126535089321
Gradient Boosting,Lasso+fscnca,0.8760636614281774,0.8598151256083578,0.7948051295211965
AdaBoost,Lasso+fscnca,0.8504285359801488,0.8318779731232403,0.7577475502896313
GentleBoost,Lasso+fscnca,0.8386617314585058,0.8028193494675654,0.6594765359467528
LogitBoost,Lasso+fscnca,0.8504285359801488,0.8318779731232403,0.7577475502896313
RUSBoost,Lasso+fscnca,0.8797961124896609,0.8625239879363799,0.7933808416651243
kNN Euclidean,Lasso+fscnca,0.8696524951750758,0.8561312757552179,0.8019280529211509
kNN Minkowski,Lasso+fscnca,0.8696524951750758,0.8561312757552179,0.8019280529211509
kNN Cityblock,Lasso+fscnca,0.8733952577888061,0.8602986456222913,0.8077118172029966
kNN Chebyshev,Lasso+fscnca,0.8402729252826027,0.8272000425420298,0.7748614311345072
kNN Cosine,Lasso+fscnca,0.846680617590295,0.8403471173652344,0.8148045402325268
Naive Bayes Gaussian,Lasso+fscnca,0.7676437275985663,0.787052606268367,0.8646228073621347
Naive Bayes Bernoulli,Lasso+fscnca,0.756430052384891,0.7553800554614701,0.7508410494574869
Linear Discriminant Analysis (LDA),Lasso+fscnca,0.9102354838709678,0.904256981276038,0.8802612710445983
Subspace KNN,Lasso+fscnca,0.8669798456024264,0.8545377241644854,0.804728351308825
Subspace Discriminant,Lasso+fscnca,0.9139756548111387,0.9069745127027903,0.8788674484977884
