Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,Lasso+ReliefF,0.8894123793768957,0.8781964102116325,0.8332377191017425
Linear SVM,Lasso+ReliefF,0.9049064791838987,0.8971279596643553,0.8659725679231208
SVM RBF,Lasso+ReliefF,0.8819388751033913,0.8608364579102208,0.7763347937886526
SVM Polynomial,Lasso+ReliefF,0.8253121588089329,0.7776293640397057,0.5868610359335605
SVM Sigmoid,Lasso+ReliefF,0.6939177832919768,0.6670836817812146,0.5597576789907419
Decision Tree,Lasso+ReliefF,0.806074441687345,0.7923472463796563,0.7376872494707735
Random Forest,Lasso+ReliefF,0.8728576509511993,0.8541164356091212,0.7791473723610207
Gradient Boosting,Lasso+ReliefF,0.8685936035290874,0.8518663679863829,0.7848949259346613
AdaBoost,Lasso+ReliefF,0.8477515853322304,0.8266125515439341,0.742084096328305
GentleBoost,Lasso+ReliefF,0.8381292803970224,0.800987861713297,0.6523903963007661
LogitBoost,Lasso+ReliefF,0.8477515853322304,0.8266125515439341,0.742084096328305
RUSBoost,Lasso+ReliefF,0.8739294733939896,0.854984965405562,0.7791837966376552
kNN Euclidean,Lasso+ReliefF,0.8536405845051006,0.8362180756782304,0.7663883740642062
kNN Minkowski,Lasso+ReliefF,0.8536405845051006,0.8362180756782304,0.7663883740642062
kNN Cityblock,Lasso+ReliefF,0.8621910669975187,0.8430379226015215,0.7663702971101607
kNN Chebyshev,Lasso+ReliefF,0.8418703336090433,0.8284767983043796,0.7748551558578883
kNN Cosine,Lasso+ReliefF,0.8520328370554177,0.8440570088320003,0.8119678229979238
Naive Bayes Gaussian,Lasso+ReliefF,0.7788548387096773,0.7931785094931234,0.8503830682111176
Naive Bayes Bernoulli,Lasso+ReliefF,0.7404000551419907,0.7410982148990252,0.7436933521197151
Linear Discriminant Analysis (LDA),Lasso+ReliefF,0.9096909567135373,0.9035215036266151,0.878812209250709
Subspace KNN,Lasso+ReliefF,0.8541756272401434,0.837227641085895,0.7692490786224346
Subspace Discriminant,Lasso+ReliefF,0.913974800110284,0.9086818683432528,0.8874147705814274
