Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,ReliefF,0.8819328646264131,0.8670932023065901,0.8076387091405951
Linear SVM,ReliefF,0.8867397022332506,0.8769385242354725,0.8375726810988309
SVM RBF,ReliefF,0.8733935483870967,0.8514567186556748,0.7635626718928378
SVM Polynomial,ReliefF,0.8274506479183898,0.7827853757807883,0.6040107112091945
SVM Sigmoid,ReliefF,0.7169068651778329,0.69031492662901,0.5840021723151695
Decision Tree,ReliefF,0.8092718500137854,0.8020445995993244,0.773308414772798
Random Forest,ReliefF,0.8664559691204853,0.848425717414495,0.7763042230814836
Gradient Boosting,ReliefF,0.8659132065067549,0.8505489375903327,0.7890889954987369
AdaBoost,ReliefF,0.8541506754893851,0.8351186137337655,0.759104897189398
GentleBoost,ReliefF,0.83172158808933,0.7935812291313563,0.6410002952743348
LogitBoost,ReliefF,0.8541506754893851,0.8351186137337655,0.759104897189398
RUSBoost,ReliefF,0.8723294733939895,0.8522783567927829,0.772061132746833
kNN Euclidean,ReliefF,0.8499038323683484,0.8300499807692905,0.7506508686579713
kNN Minkowski,ReliefF,0.8499038323683484,0.8300499807692905,0.7506508686579713
kNN Cityblock,ReliefF,0.854173917838434,0.8317524480936266,0.742103073496771
kNN Chebyshev,ReliefF,0.8381405017921146,0.8217893651411895,0.7563914657387079
kNN Cosine,ReliefF,0.8328046043562173,0.8226495459221056,0.7820086553947174
Naive Bayes Gaussian,ReliefF,0.792201847256686,0.8021181520498123,0.8417619514190865
Naive Bayes Bernoulli,ReliefF,0.7291811965811966,0.7304053153685731,0.7351281557910484
Linear Discriminant Analysis (LDA),ReliefF,0.8851285635511442,0.8793213748973719,0.856031263751741
Subspace KNN,ReliefF,0.8504397573752412,0.830492894556219,0.7506995731192999
Subspace Discriminant,ReliefF,0.8851311276537084,0.880469400558005,0.8617417577731642
