Model,Feature_Set,Accuracy,Sensitivity,Specificity
Logistic Regression,ReliefF+fscnca,0.885676481940998,0.8723562471120103,0.8190107332129811
Linear SVM,ReliefF+fscnca,0.8974226357871519,0.8877441429422069,0.8489142912323632
SVM RBF,ReliefF+fscnca,0.874989247311828,0.8552988763298305,0.7763533438202596
SVM Polynomial,ReliefF+fscnca,0.8247771436448854,0.7803458865212369,0.6025374539529561
SVM Sigmoid,ReliefF+fscnca,0.6971332506203475,0.6711106802315118,0.5669790034091791
Decision Tree,ReliefF+fscnca,0.8167617038875102,0.8072055666971392,0.7691263739710802
Random Forest,ReliefF+fscnca,0.8717875379101185,0.8558153222651096,0.791955756335449
Gradient Boosting,ReliefF+fscnca,0.8707165977391784,0.8538282630997012,0.7862458921599021
AdaBoost,ReliefF+fscnca,0.854688282326992,0.8358719823063488,0.7606028229855469
GentleBoost,ReliefF+fscnca,0.8402617314585056,0.8041165820338394,0.6595068985151982
LogitBoost,ReliefF+fscnca,0.854688282326992,0.8358719823063488,0.7606028229855469
RUSBoost,ReliefF+fscnca,0.875533746898263,0.857694114256465,0.7863070903743544
kNN Euclidean,ReliefF+fscnca,0.8627149159084642,0.8463146425413144,0.7806029175702526
kNN Minkowski,ReliefF+fscnca,0.8627149159084642,0.8463146425413144,0.7806029175702526
kNN Cityblock,ReliefF+fscnca,0.8557721532947339,0.8381638938600985,0.7677202685824862
kNN Chebyshev,ReliefF+fscnca,0.8397352908740006,0.8239190662584809,0.7606027202447304
kNN Cosine,ReliefF+fscnca,0.8413378549765648,0.8323519273883936,0.7962850783315011
Naive Bayes Gaussian,ReliefF+fscnca,0.794862475875379,0.8034037665505185,0.8374998893456759
Naive Bayes Bernoulli,ReliefF+fscnca,0.7382546732837055,0.7419267174893642,0.756435214187901
Linear Discriminant Analysis (LDA),ReliefF+fscnca,0.9064961400606562,0.9024134241906524,0.8859715055568896
Subspace KNN,ReliefF+fscnca,0.8568310725117176,0.8407445246212006,0.7762915671303391
Subspace Discriminant,ReliefF+fscnca,0.9070208712434518,0.9039868068440858,0.8916692463160575
